EmployeeID,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,MonthlyIncome,HourlyRate,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,OverTime,BusinessTravel,PerformanceRating,TrainingTimesLastYear,NumCompaniesWorked,DistanceFromHome,JobInvolvement,StockOptionLevel,PromotionLast5Years,EmploymentType,Attrition
EMP00011,43,Male,Research & Development,Research Director,3,Technical Degree,Married,3,4,2,3,22,68916,96,3,3,4,2,No,Travel_Rarely,4,6,0,39,3,3,1,Full-Time,Yes
EMP00012,55,Male,Sales,Sales Manager,1,Medical,Married,5,28,18,7,34,125078,77,4,3,2,2,No,Travel_Rarely,3,6,0,33,4,0,1,Full-Time,No
EMP00013,59,Male,Research & Development,Laboratory Technician,2,Technical Degree,Married,5,12,5,3,38,88997,99,3,3,1,2,No,Travel_Frequently,3,3,0,31,2,0,1,Full-Time,No
EMP00014,43,Male,Research & Development,Healthcare Representative,2,Human Resources,Married,4,13,12,6,20,82596,96,4,2,2,1,No,Travel_Rarely,3,1,6,13,3,1,0,Part-Time,No
EMP00015,22,Male,Research & Development,Research Director,2,Technical Degree,Single,2,0,0,0,0,47803,77,2,2,2,3,No,Travel_Rarely,3,4,3,2,1,3,0,Full-Time,No
EMP00016,41,Male,Sales,Sales Manager,3,Human Resources,Married,3,13,9,4,20,77651,94,3,2,4,2,No,Travel_Frequently,3,6,6,30,2,3,0,Full-Time,Yes
EMP00017,21,Female,Sales,Sales Manager,4,Life Sciences,Divorced,1,0,0,0,0,40656,73,1,4,4,4,No,Travel_Rarely,3,5,2,10,3,1,1,Part-Time,Yes
EMP00018,43,Male,Sales,Sales Representative,3,Life Sciences,Married,3,5,4,2,22,62762,92,4,4,1,3,No,Travel_Rarely,3,4,6,23,3,0,0,Full-Time,No
EMP00019,49,Male,Sales,Sales Representative,2,Human Resources,Divorced,4,10,3,3,29,69474,75,4,3,3,3,No,Travel_Frequently,2,2,3,33,2,0,1,Full-Time,No
EMP00020,57,Female,Research & Development,Healthcare Representative,2,Human Resources,Married,5,12,5,6,37,79581,48,4,2,3,2,Yes,Travel_Rarely,3,1,0,39,2,3,1,Full-Time,Yes
EMP00021,21,Male,Human Resources,Human Resources,4,Technical Degree,Single,2,0,0,0,0,51058,93,3,4,1,2,No,Travel_Rarely,4,6,0,29,3,0,1,Full-Time,Yes
EMP00022,40,Female,Human Resources,Human Resources,3,Human Resources,Married,4,13,3,8,18,82303,79,3,2,3,3,No,Non-Travel,4,2,3,30,4,0,0,Full-Time,No
EMP00023,52,Male,Research & Development,Healthcare Representative,4,Medical,Divorced,5,13,11,0,32,125010,92,4,2,2,3,No,Travel_Rarely,3,1,7,34,2,3,1,Full-Time,No
EMP00024,31,Male,Research & Development,Healthcare Representative,3,Life Sciences,Single,2,1,0,0,8,52075,70,4,3,3,3,No,Travel_Rarely,1,5,5,39,3,0,1,Full-Time,No
EMP00025,41,Female,Research & Development,Healthcare Representative,3,Life Sciences,Divorced,4,12,9,4,21,76300,36,4,4,3,3,No,Travel_Rarely,4,2,4,17,2,1,0,Full-Time,No
EMP00026,44,Female,Sales,Sales Manager,3,Other,Divorced,4,15,4,3,23,101057,38,3,1,4,3,No,Travel_Frequently,3,2,2,22,4,1,0,Full-Time,No
EMP00027,46,Female,Human Resources,Recruiter,3,Human Resources,Married,4,22,17,12,23,85451,33,4,1,1,3,No,Travel_Frequently,3,1,6,5,3,0,1,Full-Time,No
EMP00028,47,Male,Research & Development,Healthcare Representative,3,Marketing,Single,4,18,13,11,27,89667,78,2,3,4,4,No,Travel_Frequently,3,4,4,11,4,0,0,Full-Time,No
EMP00029,35,Male,Research & Development,Research Director,3,Marketing,Married,3,6,5,3,12,56563,35,2,2,3,3,No,Travel_Rarely,3,0,7,22,1,0,1,Full-Time,No
EMP00030,34,Male,Sales,Sales Representative,2,Human Resources,Single,2,7,1,5,11,49989,50,1,3,4,4,No,Travel_Frequently,3,4,5,32,3,1,1,Full-Time,No
EMP00031,22,Male,Research & Development,Laboratory Technician,3,Medical,Married,1,0,0,0,0,43629,44,2,3,3,4,No,Travel_Rarely,4,0,2,24,3,1,0,Full-Time,No
EMP00032,56,Female,Research & Development,Research Scientist,4,Marketing,Married,5,29,14,20,34,106462,96,4,3,4,1,No,Travel_Rarely,2,1,1,11,2,0,1,Full-Time,No
EMP00033,26,Male,Research & Development,Manufacturing Director,5,Other,Married,1,2,0,1,6,33734,95,4,1,4,2,Yes,Travel_Rarely,2,3,2,11,2,3,1,Full-Time,No
EMP00034,40,Female,Research & Development,Healthcare Representative,3,Human Resources,Married,4,7,4,2,18,90701,85,4,1,3,3,Yes,Non-Travel,1,4,6,17,3,0,0,Full-Time,No
EMP00035,28,Male,Research & Development,Healthcare Representative,3,Medical,Married,2,2,1,1,6,62649,97,3,4,3,3,Yes,Travel_Rarely,3,2,4,32,3,0,0,Full-Time,No
EMP00036,58,Male,Human Resources,HR Manager,2,Medical,Married,5,22,11,1,37,91790,61,3,4,4,3,No,Travel_Frequently,2,4,2,19,1,0,1,Full-Time,No
EMP00037,37,Male,Sales,Sales Representative,4,Technical Degree,Married,3,12,10,7,16,69461,95,4,2,4,3,No,Travel_Rarely,3,1,1,27,3,0,0,Full-Time,No
EMP00038,23,Female,Research & Development,Laboratory Technician,3,Medical,Married,1,0,0,0,0,43868,58,3,1,4,2,No,Travel_Rarely,1,3,1,32,2,3,0,Contract,No
EMP00039,44,Female,Sales,Sales Manager,5,Marketing,Married,5,5,1,1,21,87066,95,4,1,4,2,Yes,Travel_Rarely,3,3,0,25,2,0,0,Part-Time,No
EMP00040,33,Female,Research & Development,Research Scientist,3,Marketing,Married,2,9,2,4,12,58071,63,3,3,3,1,No,Travel_Frequently,3,4,6,28,3,0,0,Contract,Yes
EMP00041,28,Female,Human Resources,HR Manager,3,Human Resources,Married,3,5,2,2,7,72906,56,3,4,1,3,No,Travel_Rarely,1,4,1,27,2,2,1,Part-Time,No
EMP00042,45,Female,Sales,Sales Executive,3,Human Resources,Married,4,10,9,1,25,92807,89,3,3,2,3,No,Travel_Rarely,3,5,3,14,3,1,1,Full-Time,No
EMP00043,21,Female,Research & Development,Manufacturing Director,4,Medical,Married,2,0,0,0,0,49229,68,4,3,4,2,No,Travel_Rarely,3,4,4,39,3,0,1,Full-Time,No
EMP00044,39,Male,Sales,Sales Manager,3,Other,Single,3,8,5,2,16,63437,73,2,4,2,3,Yes,Travel_Rarely,2,1,3,2,3,2,1,Full-Time,Yes
EMP00045,47,Male,Human Resources,Human Resources,3,Life Sciences,Single,4,23,12,10,26,92984,65,3,4,1,1,No,Travel_Frequently,3,0,5,17,3,1,1,Full-Time,No
EMP00046,26,Male,Research & Development,Manufacturing Director,5,Technical Degree,Divorced,1,5,4,3,6,31606,48,4,1,4,1,Yes,Travel_Rarely,4,5,3,1,4,0,0,Full-Time,No
EMP00047,27,Female,Research & Development,Healthcare Representative,1,Life Sciences,Married,2,3,0,2,6,50871,74,3,2,4,3,No,Travel_Rarely,4,0,4,32,3,1,0,Full-Time,No
EMP00048,54,Female,Sales,Sales Representative,4,Medical,Married,5,24,8,10,33,87800,50,4,1,2,3,No,Travel_Rarely,1,2,7,19,3,3,1,Full-Time,No
EMP00049,33,Male,Human Resources,Recruiter,2,Medical,Married,3,9,2,5,11,53811,52,2,4,2,3,No,Travel_Frequently,3,6,5,14,2,1,1,Full-Time,No
EMP00050,36,Female,Research & Development,Healthcare Representative,4,Life Sciences,Single,4,7,3,2,13,104132,56,3,4,3,4,No,Travel_Rarely,3,1,3,31,3,1,1,Full-Time,No
EMP00051,55,Female,Sales,Sales Manager,3,Technical Degree,Married,5,15,6,8,35,99124,48,4,3,1,4,Yes,Travel_Rarely,2,5,7,18,3,3,0,Full-Time,No
EMP00052,59,Male,Research & Development,Manufacturing Director,3,Life Sciences,Married,5,29,25,4,37,124124,70,3,1,4,2,No,Travel_Rarely,3,3,3,14,2,1,0,Full-Time,No
EMP00053,23,Male,Sales,Sales Manager,4,Human Resources,Married,1,0,0,0,0,30365,55,3,2,2,3,No,Non-Travel,3,5,6,14,3,0,1,Part-Time,No
EMP00054,21,Female,Human Resources,Recruiter,1,Marketing,Married,1,0,0,0,0,37741,57,2,2,4,3,Yes,Travel_Frequently,3,2,5,24,2,0,1,Part-Time,No
EMP00055,25,Male,Sales,Sales Executive,2,Other,Single,1,4,2,0,5,31366,93,2,3,4,3,No,Travel_Frequently,3,3,3,5,1,1,1,Full-Time,Yes
EMP00056,23,Female,Research & Development,Healthcare Representative,3,Human Resources,Single,1,0,0,0,0,41086,97,3,2,3,3,No,Travel_Frequently,3,5,1,16,2,0,0,Full-Time,Yes
EMP00057,48,Male,Research & Development,Research Scientist,3,Marketing,Divorced,5,14,7,9,27,115492,80,1,1,2,2,No,Travel_Frequently,3,3,7,5,3,3,1,Part-Time,No
EMP00058,37,Female,Sales,Sales Manager,3,Other,Married,3,5,4,1,15,57097,77,4,4,3,2,No,Travel_Frequently,3,4,4,13,3,0,0,Full-Time,No
EMP00059,45,Female,Sales,Sales Manager,1,Other,Married,5,12,10,4,25,121460,39,4,2,3,3,Yes,Travel_Rarely,3,3,4,16,2,1,0,Part-Time,No
EMP00060,53,Female,Sales,Sales Manager,2,Other,Single,5,12,10,8,30,88100,68,2,3,2,3,No,Travel_Frequently,3,5,4,15,3,1,0,Full-Time,No
EMP00061,29,Male,Research & Development,Healthcare Representative,2,Medical,Single,3,2,1,1,7,72858,48,3,1,4,2,No,Travel_Rarely,4,3,3,31,1,1,1,Full-Time,No
EMP00062,55,Female,Sales,Sales Manager,2,Other,Married,5,27,7,6,34,124881,93,3,4,3,2,No,Travel_Rarely,3,1,1,5,2,0,1,Full-Time,No
EMP00063,33,Female,Research & Development,Manufacturing Director,3,Technical Degree,Married,3,4,1,1,12,81345,48,2,3,4,3,No,Travel_Rarely,4,4,4,21,3,0,1,Full-Time,No
EMP00064,50,Male,Sales,Sales Representative,4,Life Sciences,Married,4,15,3,8,27,103605,91,2,4,1,2,No,Travel_Frequently,3,4,2,30,3,1,0,Full-Time,No
EMP00065,34,Female,Sales,Sales Manager,5,Technical Degree,Single,2,6,2,2,13,49022,42,3,3,1,2,Yes,Travel_Rarely,3,2,4,23,2,2,0,Full-Time,Yes
EMP00066,27,Male,Research & Development,Research Director,4,Life Sciences,Married,1,6,1,0,7,29791,54,3,4,4,2,No,Travel_Frequently,3,4,0,38,2,1,0,Full-Time,Yes
EMP00067,33,Male,Sales,Sales Executive,2,Human Resources,Single,2,5,2,1,10,45320,71,3,4,3,2,No,Non-Travel,3,0,2,29,4,0,1,Full-Time,No
EMP00068,42,Male,Human Resources,Recruiter,3,Human Resources,Single,4,5,3,3,20,85819,68,3,3,3,3,No,Travel_Rarely,3,1,4,13,2,0,1,Full-Time,No
EMP00069,59,Male,Research & Development,Laboratory Technician,2,Life Sciences,Married,5,9,8,4,36,115935,59,4,4,3,3,No,Travel_Rarely,4,2,3,32,2,2,0,Full-Time,No
EMP00070,40,Male,Research & Development,Research Scientist,2,Technical Degree,Single,4,11,8,8,17,72155,34,4,2,2,1,Yes,Non-Travel,3,0,7,27,3,3,1,Full-Time,No
EMP00071,35,Female,Research & Development,Research Director,3,Life Sciences,Single,3,8,7,4,13,74331,47,3,3,4,1,Yes,Travel_Rarely,3,3,4,34,3,0,1,Full-Time,Yes
EMP00072,37,Male,Human Resources,Recruiter,1,Other,Married,3,8,1,6,16,63742,50,4,1,1,2,Yes,Travel_Rarely,3,6,1,33,3,1,1,Full-Time,No
EMP00073,43,Female,Sales,Sales Manager,2,Medical,Married,4,11,2,1,21,79606,79,2,3,3,3,No,Travel_Frequently,4,0,1,4,4,0,1,Full-Time,No
EMP00074,45,Male,Sales,Sales Manager,5,Human Resources,Married,4,6,4,3,25,92114,35,4,4,3,1,No,Non-Travel,3,2,4,18,2,1,0,Full-Time,Yes
EMP00075,44,Male,Sales,Sales Representative,3,Medical,Married,5,14,6,0,23,100765,79,3,4,4,3,No,Travel_Rarely,3,4,6,6,3,2,1,Full-Time,No
EMP00076,48,Male,Research & Development,Manufacturing Director,3,Other,Single,5,15,6,8,25,116809,95,4,1,3,2,Yes,Non-Travel,2,1,3,28,2,0,1,Full-Time,Yes
EMP00077,34,Female,Sales,Sales Manager,1,Other,Single,3,4,1,1,13,58461,30,3,3,1,2,Yes,Travel_Rarely,3,6,3,27,3,1,0,Contract,No
EMP00078,20,Male,Research & Development,Healthcare Representative,2,Human Resources,Divorced,1,0,0,0,0,41084,86,2,2,3,2,No,Travel_Rarely,1,2,3,26,4,0,1,Part-Time,No
EMP00079,44,Female,Human Resources,Human Resources,4,Human Resources,Married,4,7,4,4,24,68805,59,3,3,1,1,No,Travel_Rarely,1,0,4,20,3,0,1,Full-Time,No
EMP00080,26,Female,Research & Development,Healthcare Representative,2,Other,Married,2,1,0,0,5,45457,87,3,2,2,3,No,Travel_Rarely,3,6,7,13,3,1,0,Full-Time,No
EMP00081,28,Female,Research & Development,Laboratory Technician,3,Marketing,Single,3,4,2,0,7,74218,81,3,4,1,3,No,Travel_Rarely,3,0,4,28,4,0,1,Full-Time,No
EMP00082,43,Male,Sales,Sales Manager,1,Medical,Married,4,7,5,3,22,99642,66,3,2,3,4,No,Travel_Rarely,3,2,0,34,2,1,1,Full-Time,No
EMP00083,20,Male,Research & Development,Research Scientist,3,Medical,Single,1,0,0,0,0,32219,77,4,2,1,1,Yes,Travel_Frequently,4,6,1,23,3,0,0,Full-Time,No
EMP00084,27,Female,Research & Development,Research Director,1,Marketing,Married,1,2,0,0,6,33448,30,3,4,3,2,Yes,Travel_Rarely,2,5,6,10,4,1,0,Part-Time,Yes
EMP00085,43,Male,Sales,Sales Executive,4,Technical Degree,Divorced,3,20,6,13,21,70469,48,3,3,4,2,Yes,Travel_Rarely,3,5,2,30,3,0,1,Full-Time,No
EMP00086,30,Female,Sales,Sales Executive,4,Medical,Divorced,3,7,3,1,9,60214,75,2,1,4,3,Yes,Travel_Rarely,3,2,2,22,2,1,0,Full-Time,No
EMP00087,36,Male,Human Resources,Recruiter,4,Life Sciences,Married,3,6,4,4,16,79101,96,4,3,1,2,Yes,Travel_Rarely,2,5,7,5,2,1,1,Full-Time,No
EMP00088,27,Female,Research & Development,Manufacturing Director,2,Other,Married,2,2,1,0,6,59367,31,4,1,2,3,No,Travel_Rarely,3,2,1,9,2,3,0,Full-Time,No
EMP00089,54,Female,Research & Development,Manufacturing Director,4,Other,Divorced,5,12,8,6,33,85806,85,4,4,3,2,No,Travel_Rarely,3,4,5,4,2,3,0,Full-Time,Yes
EMP00090,54,Female,Human Resources,HR Manager,3,Marketing,Married,5,18,6,9,31,100618,46,2,3,4,1,No,Travel_Rarely,3,6,0,1,3,0,0,Full-Time,No
EMP00091,52,Male,Research & Development,Laboratory Technician,3,Medical,Single,5,6,4,1,30,115079,51,3,2,1,4,No,Travel_Rarely,4,2,1,34,1,0,1,Full-Time,No
EMP00092,24,Female,Research & Development,Healthcare Representative,3,Technical Degree,Married,1,2,1,0,3,33615,56,1,3,4,3,No,Travel_Frequently,3,3,0,26,2,1,1,Full-Time,No
EMP00093,58,Male,Research & Development,Manufacturing Director,1,Medical,Single,5,22,12,14,36,108489,84,3,1,3,3,Yes,Travel_Frequently,4,1,5,18,3,1,1,Full-Time,No
EMP00094,47,Male,Sales,Sales Executive,2,Other,Married,5,24,15,14,27,81384,61,1,4,3,3,No,Travel_Frequently,3,1,0,16,3,0,0,Full-Time,No
EMP00095,26,Female,Research & Development,Research Director,4,Human Resources,Married,2,0,0,0,3,55408,89,3,4,4,3,No,Travel_Rarely,2,3,3,23,3,0,1,Full-Time,No
EMP00096,28,Female,Research & Development,Manufacturing Director,2,Life Sciences,Married,2,5,3,2,6,44463,57,3,4,4,1,No,Travel_Rarely,3,0,1,36,3,1,0,Full-Time,Yes
EMP00097,27,Female,Research & Development,Manufacturing Director,3,Marketing,Married,2,3,2,0,4,60733,57,3,2,4,3,No,Travel_Rarely,2,0,2,26,1,3,0,Full-Time,No
EMP00098,31,Female,Human Resources,HR Manager,3,Human Resources,Single,2,3,0,0,10,49330,54,3,2,3,2,Yes,Non-Travel,3,0,4,2,1,3,0,Full-Time,Yes
EMP00099,53,Male,Research & Development,Laboratory Technician,4,Technical Degree,Married,5,17,13,6,33,92142,55,4,1,3,3,No,Travel_Rarely,3,6,5,5,1,0,0,Contract,No
EMP00100,52,Male,Research & Development,Research Director,5,Human Resources,Married,5,9,2,0,29,118151,46,1,3,3,3,Yes,Travel_Rarely,3,0,5,29,3,0,1,Full-Time,Yes
EMP00101,42,Female,Research & Development,Healthcare Representative,4,Human Resources,Married,3,8,2,5,21,55129,36,4,3,2,3,No,Travel_Rarely,2,4,4,4,1,0,0,Full-Time,No
EMP00102,43,Male,Research & Development,Manufacturing Director,2,Technical Degree,Single,4,8,7,4,21,81767,85,2,3,3,3,No,Travel_Frequently,3,3,1,35,3,1,0,Full-Time,No
EMP00103,56,Male,Research & Development,Healthcare Representative,2,Human Resources,Divorced,5,23,22,17,36,96255,93,1,4,2,3,Yes,Travel_Rarely,2,1,6,22,2,2,1,Full-Time,Yes
EMP00104,54,Male,Sales,Sales Manager,3,Marketing,Divorced,5,17,4,9,34,92293,49,2,2,1,2,Yes,Travel_Rarely,3,3,4,8,4,2,0,Full-Time,No
EMP00105,59,Male,Research & Development,Healthcare Representative,1,Other,Single,5,35,19,26,37,121446,67,4,1,3,2,Yes,Travel_Rarely,3,1,0,21,3,1,1,Full-Time,No
EMP00106,41,Male,Sales,Sales Representative,1,Medical,Single,4,5,1,2,19,95586,87,3,1,4,1,Yes,Travel_Rarely,4,0,4,8,3,0,1,Full-Time,No
EMP00107,46,Male,Research & Development,Research Director,3,Human Resources,Married,5,25,14,12,26,82022,45,4,2,4,3,No,Non-Travel,2,4,0,5,3,0,0,Full-Time,No
EMP00108,54,Male,Research & Development,Research Scientist,3,Marketing,Married,5,11,9,8,31,112282,80,3,1,3,4,No,Travel_Rarely,3,2,0,21,3,3,1,Full-Time,No
EMP00109,20,Male,Research & Development,Laboratory Technician,5,Medical,Divorced,2,0,0,0,0,53455,56,1,3,3,2,Yes,Travel_Rarely,3,2,2,27,3,0,1,Full-Time,No
EMP00110,54,Female,Human Resources,HR Manager,2,Medical,Divorced,5,15,10,0,32,120940,80,4,2,1,1,No,Travel_Rarely,4,5,4,38,4,0,0,Full-Time,Yes
EMP00111,56,Male,Research & Development,Research Scientist,2,Human Resources,Married,5,10,4,5,33,93601,45,1,2,4,3,No,Travel_Rarely,3,0,6,5,3,1,1,Full-Time,No
EMP00112,33,Male,Research & Development,Manufacturing Director,2,Marketing,Married,3,10,6,7,12,71636,89,4,4,3,4,Yes,Travel_Rarely,2,0,2,21,4,1,1,Full-Time,No
EMP00113,22,Female,Research & Development,Manufacturing Director,5,Other,Single,1,0,0,0,2,36312,69,2,2,4,3,Yes,Travel_Rarely,3,3,6,8,3,3,1,Full-Time,Yes
EMP00114,20,Male,Research & Development,Healthcare Representative,4,Human Resources,Single,2,0,0,0,0,52549,96,2,3,4,1,No,Travel_Rarely,3,4,4,22,4,0,1,Full-Time,Yes
EMP00115,24,Female,Sales,Sales Representative,4,Technical Degree,Married,2,1,0,0,3,51746,31,4,2,2,4,Yes,Travel_Rarely,3,4,6,18,2,1,0,Full-Time,Yes
EMP00116,45,Female,Sales,Sales Manager,5,Medical,Married,4,14,9,11,25,74319,77,4,3,3,4,No,Travel_Frequently,4,3,0,4,2,1,0,Full-Time,No
EMP00117,33,Male,Research & Development,Laboratory Technician,3,Human Resources,Married,2,7,3,0,13,58937,81,3,4,4,2,Yes,Travel_Rarely,2,4,6,4,3,3,0,Full-Time,Yes
EMP00118,58,Male,Research & Development,Manufacturing Director,3,Medical,Married,5,27,11,14,35,100037,53,4,1,1,4,No,Travel_Rarely,4,6,4,37,2,2,1,Full-Time,No
EMP00119,46,Female,Sales,Sales Executive,3,Marketing,Single,4,6,1,1,24,103682,31,2,3,3,3,No,Travel_Frequently,2,6,5,15,2,2,1,Full-Time,Yes
EMP00120,28,Female,Sales,Sales Executive,3,Life Sciences,Married,3,5,4,2,7,61765,94,4,4,4,3,No,Travel_Frequently,4,4,5,38,2,0,1,Part-Time,No
EMP00121,34,Male,Sales,Sales Manager,3,Human Resources,Single,2,12,6,5,14,57185,49,3,3,2,3,No,Travel_Frequently,4,6,2,27,3,2,0,Full-Time,Yes
EMP00122,34,Female,Human Resources,Human Resources,3,Other,Married,2,2,0,0,11,63377,63,2,2,4,4,No,Travel_Rarely,3,2,7,21,4,0,0,Full-Time,No
EMP00123,45,Male,Research & Development,Manufacturing Director,5,Human Resources,Married,4,7,4,1,24,92174,70,2,3,4,3,Yes,Travel_Rarely,3,4,3,4,3,0,1,Full-Time,No
EMP00124,32,Female,Research & Development,Research Scientist,5,Medical,Married,2,8,6,3,11,61710,70,1,3,4,1,No,Travel_Rarely,2,6,5,11,4,0,1,Full-Time,No
EMP00125,51,Male,Sales,Sales Executive,4,Marketing,Divorced,4,17,5,1,31,98571,52,3,4,2,4,No,Travel_Rarely,1,0,6,19,3,1,0,Full-Time,No
EMP00126,58,Female,Research & Development,Laboratory Technician,4,Technical Degree,Single,5,19,16,4,37,95795,67,2,1,2,2,No,Travel_Frequently,2,2,2,19,1,0,0,Full-Time,No
EMP00127,51,Female,Sales,Sales Representative,4,Other,Married,4,9,8,6,31,89704,73,3,1,1,3,No,Travel_Rarely,2,0,6,27,2,2,0,Part-Time,No
EMP00128,23,Female,Sales,Sales Manager,2,Marketing,Single,1,0,0,0,0,30628,96,4,2,4,3,Yes,Travel_Frequently,3,0,3,28,3,1,0,Full-Time,No
EMP00129,49,Male,Research & Development,Research Scientist,1,Human Resources,Married,5,7,3,2,26,103951,91,1,2,4,2,No,Travel_Rarely,3,6,1,5,2,0,1,Full-Time,Yes
EMP00130,56,Male,Sales,Sales Manager,4,Technical Degree,Divorced,5,20,7,15,35,89764,41,3,2,3,2,No,Travel_Rarely,4,6,2,25,2,1,1,Full-Time,No
EMP00131,42,Male,Sales,Sales Executive,4,Marketing,Married,4,17,8,3,22,95305,59,3,2,3,4,No,Travel_Frequently,3,3,5,3,3,0,1,Full-Time,No
EMP00132,58,Male,Sales,Sales Manager,1,Life Sciences,Divorced,5,14,6,4,36,103604,94,4,2,1,3,No,Travel_Rarely,3,5,5,26,3,0,1,Full-Time,No
EMP00133,34,Male,Sales,Sales Representative,5,Other,Single,2,6,2,2,11,50669,70,3,1,4,3,Yes,Travel_Frequently,3,4,4,10,3,1,0,Full-Time,No
EMP00134,48,Female,Sales,Sales Representative,1,Medical,Divorced,5,27,18,16,28,91549,49,3,4,4,3,No,Travel_Rarely,3,4,3,24,4,2,0,Part-Time,No
EMP00135,55,Male,Research & Development,Laboratory Technician,2,Marketing,Single,5,26,15,18,35,125489,35,3,1,4,3,No,Travel_Rarely,3,4,5,29,3,1,1,Full-Time,No
EMP00136,32,Male,Research & Development,Research Scientist,4,Marketing,Divorced,3,10,8,7,12,55808,33,2,2,4,3,No,Travel_Rarely,3,4,4,7,3,2,1,Full-Time,No
EMP00137,51,Female,Research & Development,Healthcare Representative,2,Life Sciences,Single,5,15,3,9,30,81075,39,1,2,4,2,No,Travel_Frequently,3,6,3,23,4,2,1,Full-Time,No
EMP00138,26,Female,Research & Development,Laboratory Technician,1,Human Resources,Single,1,3,2,0,4,31634,80,3,4,4,3,No,Travel_Rarely,3,2,2,27,2,0,0,Contract,No
EMP00139,41,Female,Sales,Sales Representative,3,Other,Married,3,4,3,0,20,84138,67,1,4,3,4,Yes,Travel_Rarely,3,1,2,9,3,1,0,Full-Time,No
EMP00140,47,Female,Human Resources,Human Resources,4,Other,Divorced,4,7,5,2,24,104490,30,3,4,3,3,No,Travel_Rarely,4,0,4,3,4,1,0,Contract,No
EMP00141,21,Male,Research & Development,Manufacturing Director,3,Medical,Single,1,0,0,0,0,38856,37,2,1,4,2,No,Travel_Rarely,2,5,2,13,3,0,1,Full-Time,No
EMP00142,25,Male,Sales,Sales Manager,4,Marketing,Married,1,2,1,1,5,42571,92,3,4,3,4,No,Non-Travel,3,5,4,6,3,2,1,Full-Time,No
EMP00143,47,Female,Research & Development,Research Director,3,Technical Degree,Divorced,5,22,20,11,26,88999,62,1,3,3,3,No,Travel_Rarely,3,1,0,38,3,2,1,Full-Time,Yes
EMP00144,47,Female,Sales,Sales Representative,1,Marketing,Married,4,12,5,0,27,104209,44,4,2,1,1,No,Travel_Rarely,3,1,6,21,3,0,1,Full-Time,No
EMP00145,39,Male,Research & Development,Research Director,5,Medical,Single,4,12,7,8,17,71868,60,4,3,2,4,Yes,Travel_Rarely,4,1,3,19,1,3,1,Full-Time,No
EMP00146,49,Female,Research & Development,Manufacturing Director,1,Marketing,Married,5,21,4,4,28,83752,50,2,4,3,3,Yes,Travel_Frequently,3,6,4,25,4,0,1,Full-Time,No
EMP00147,30,Male,Human Resources,HR Manager,5,Life Sciences,Married,3,6,1,2,9,57084,32,2,4,2,2,No,Travel_Rarely,3,2,3,39,4,3,0,Full-Time,Yes
EMP00148,47,Male,Research & Development,Healthcare Representative,3,Marketing,Divorced,4,12,4,6,26,88651,95,3,4,2,2,No,Travel_Frequently,2,1,7,4,4,0,1,Full-Time,No
